group_id,confidence,confidence_score,recommendation,perusahaan_id,nama_usaha,alamat,your_reasoning
DUP_001,DEFINITE_DUPLICATE,95,MERGE,16742072,N - EMPAT - BHR,JL. H. AGUSSALIM ,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_001,DEFINITE_DUPLICATE,95,MERGE,18358505,N - EMPAT - BHR,JL. H. AGUSSALIM,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_001,DEFINITE_DUPLICATE,95,MERGE,7477261,N - EMPAT - BHR,JL. H. AGUSSALIM ,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_002,DEFINITE_DUPLICATE,95,MERGE,16825593,UD SARI INDAH,JL OPU DENG RISAJU,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_002,DEFINITE_DUPLICATE,95,MERGE,3260272,SARI INDAH INDONESIA,JL OPU DG. RISAJU,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_003,DEFINITE_DUPLICATE,93,MERGE,17095894,PT Kritis Media Utama,Jalan Lasiming Nomor 55 Parepare,"Nama sangat mirip, alamat/GPS mendukung"
DUP_003,DEFINITE_DUPLICATE,93,MERGE,42799076,KRITIS MEDIA UTAMA,JALAN LASIMING NO. 55,"Nama sangat mirip, alamat/GPS mendukung"
DUP_003,DEFINITE_DUPLICATE,93,MERGE,43130440,KRITIS MEDIA UTAMA,JALAN LASIMING NO 55,"Nama sangat mirip, alamat/GPS mendukung"
DUP_004,DEFINITE_DUPLICATE,95,MERGE,171216,"SALO KARAJAE PRIMA, PT",Jl. Sazilia No. 43,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_004,DEFINITE_DUPLICATE,95,MERGE,6428975,"SALO KARAJAE PRIMA, PT",JL SAZILIA NO 43,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_005,DEFINITE_DUPLICATE,95,MERGE,171217,"WANDYS, PT",Jl. Persada Indah No. 12,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_005,DEFINITE_DUPLICATE,95,MERGE,6428964,"WANDYS, PT",JL PERSADA INDAH NO 12,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_005,DEFINITE_DUPLICATE,95,MERGE,97443680,"WANDYS, PT",JL. PERSADA INDAH NO. 12,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_006,DEFINITE_DUPLICATE,85,MERGE,171223,"LUMPUE INDAH, PT",JLBUMASSEPE NO. 33,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_006,DEFINITE_DUPLICATE,85,MERGE,43150986,LUMPUE INDAH,JLN BAUMASSEPE NO 33,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_006,DEFINITE_DUPLICATE,85,MERGE,6428968,"LUMPUE INDAH, PT",JL JAMBU NO 22,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_006,DEFINITE_DUPLICATE,85,MERGE,97471644,LUMPUE INDAH PT,JL LINGKAR LANYER,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_007,DEFINITE_DUPLICATE,95,MERGE,171227,MALEWONG JAYA UTAMA PT,Jl. Jend. Sudirman No. 56 B,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_007,DEFINITE_DUPLICATE,95,MERGE,6428963,"MALEWONG JAYA UTAMA, PT",JL JEND SUDIRMAN NO 56 B,"Nama inti sangat mirip, alamat setara/ GPS sangat dekat"
DUP_008,DEFINITE_DUPLICATE,91,MERGE,171248,"ADI CIPTA UTAMA KARYA, PT",Jl. Bau Massepe No 338,"Nama sangat mirip, alamat/GPS mendukung"
DUP_008,DEFINITE_DUPLICATE,91,MERGE,42867085,ADI CIPTA UTAMA KARYA NON JHT,JL BAU MASSEPE NO 338,"Nama sangat mirip, alamat/GPS mendukung"
