idsbr,nama_usaha,nama_komersial_usaha,alamat,nama_sls,kodepos,nomor_telepon,nomor_whatsapp,email,website,latitude,longitude,keberadaan_usaha,kdprov,kdkab,kdkec,kddesa
97447640,LPK SATRIA (MUHAMMAD FERY SATRIADI AZIS),,JL MUH ARSYAD NO 40,,,420640,,HOMENETPARE@GMAIL.COM,,,,1,73,72,030,004
97446322,BIMBINGAN BELAJAR <MARDAWIAH>,,JALAN AGUS SALIM,,,085242368429,,,,,,1,73,72,011,006
97447702,KANTIN KE JUJURAN SMA 2,,JLN JENDRAL SUDIRMAN,,,55804310,,,,,,1,73,72,011,004
97447712,SINAR FAJAR,,JL BAU MASSEPE NO 165,,,,,,,,,1,73,72,011,006
97447492,US MALLONGI LONGI (AMIR RASYID),,JL ATLETIK NO 45,,,42958523,,,,,,1,73,72,020,005
97458563,ASRI PULSA,,JALAN BAU MASSEPE,,,081842421801,,,,,,1,73,72,011,004
97458594,TOKO KELONTONG (BAHARUDDIN),,JALAN SYAMSUL BAHRI,,,45361629,,,,,,1,73,72,020,001
97457511,KIOS MONICA,,JL DRS MUH YUSUF MADJID,,,,,,,,,1,73,72,030,007
97457541,KANTOR HISWANA MIGAS,,JL PELITA NO 50,,,042123770,,,,,,1,73,72,030,001
97457647,TIWI COLECTION,,JL LAHALEDE,,,37264755,,,,,,1,73,72,030,004
97455142,PERCETAKAN DUNIA,,JALAN BAU MASEPPE NO. 487,,,24571,,,,,,1,73,72,020,003
97443972,CNS COMPANY,,JL ALWI ABD DJALIL HABIBIE,,,22262470,,MUHAMMAD.AT@GMAIL.COM,,,,1,73,72,020,003
97447110,MI DDI KAMPUNG BARU,,JALAN AGUSSALIM,,,,,,,,,1,73,72,011,006
97446148,RUMAH MAKAN PALEKKO MANGGAU,,JALAN MATTIRO NO99,,,,,,,,,1,73,72,011,006
97446128,WARNET SABRI,,JL H AGUS SALIM,,,085397779494,,,,,,1,73,72,011,005
97447140,HOTEL FORTUNA,,JL.A SINTA,,,43944404,,,,,,1,73,72,030,004
97470773,COUNTER SEVEN CELL,,JL LAHALEDE,,,081355514642,,,,,,1,73,72,030,004
97470797,KREDIT BARANG (MURNI),,JL PETTA ODDO NO 21,,,43017353,,,,,,1,73,72,030,006
97445113,KANTIN 2 SMPN 9 PAREPARE,,JALAN BAUMASSEPE,,,91872876,,,,,,1,73,72,011,006
97443866,KANTOR NOTARIS ANDI HARINY,,JALAN BAUMASSEPE NO 97,,,,,,,,,1,73,72,011,006
97443638,APOTEK NUR MEDIKA,,JALAN BAU MASSEPE,,,88228440,,,,,,1,73,72,020,001
97444909,SMP NEG 9 PAREPARE,,JALAN BAUMASSEPE NO 94,,,42787577,,,,,,1,73,72,011,006
97442400,JUAL PAKAIAN JADI (SUKMAWATI),,JL SIRATAL MUSTAKIM,,,53519440,,,WWW.SUKMA.COM,,,1,73,72,011,004
97447840,SALON DILLA,,JL ANDI MAKKASAU LR 13 NO 25,,,24546,,,,,,1,73,72,030,001
97442418,PRAKTEKSPESIALIS KANDUNGAN,,JALAN. A SULOLIPU,,,4109033,,,,,,1,73,72,020,003
